batter,bowler,non_striker,runs_batter,runs_extras,runs_total,wickets_0_player_out,wickets_0_kind,team,over,extras_wides,wickets_0_fielders_0_name,review_by,review_umpire,review_batter,review_decision,review_type,extras_legbyes,wickets_0_fielders_1_name,extras_noballs,extras_penalty
Shayan Jahangir,Arshdeep Singh,SR Taylor,0,0,0,Shayan Jahangir,lbw,United States of America,0,,,,,,,,,,,
AGS Gous,Arshdeep Singh,SR Taylor,0,0,0,,,United States of America,0,,,,,,,,,,,
AGS Gous,Arshdeep Singh,SR Taylor,0,0,0,,,United States of America,0,,,,,,,,,,,
AGS Gous,Arshdeep Singh,SR Taylor,0,1,1,,,United States of America,0,1.0,,,,,,,,,,
AGS Gous,Arshdeep Singh,SR Taylor,2,0,2,,,United States of America,0,,,,,,,,,,,
AGS Gous,Arshdeep Singh,SR Taylor,0,0,0,,,United States of America,0,,,,,,,,,,,
AGS Gous,Arshdeep Singh,SR Taylor,0,0,0,AGS Gous,caught,United States of America,0,,HH Pandya,,,,,,,,,
SR Taylor,Mohammed Siraj,Aaron Jones,1,0,1,,,United States of America,1,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,0,0,0,,,United States of America,1,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,1,0,1,,,United States of America,1,,,,,,,,,,,
SR Taylor,Mohammed Siraj,Aaron Jones,0,0,0,,,United States of America,1,,,,,,,,,,,
SR Taylor,Mohammed Siraj,Aaron Jones,0,0,0,,,United States of America,1,,,,,,,,,,,
SR Taylor,Mohammed Siraj,Aaron Jones,2,0,2,,,United States of America,1,,,,,,,,,,,
Aaron Jones,Arshdeep Singh,SR Taylor,0,0,0,,,United States of America,2,,,,,,,,,,,
Aaron Jones,Arshdeep Singh,SR Taylor,0,0,0,,,United States of America,2,,,,,,,,,,,
Aaron Jones,Arshdeep Singh,SR Taylor,1,0,1,,,United States of America,2,,,,,,,,,,,
SR Taylor,Arshdeep Singh,Aaron Jones,0,0,0,,,United States of America,2,,,,,,,,,,,
SR Taylor,Arshdeep Singh,Aaron Jones,0,0,0,,,United States of America,2,,,,,,,,,,,
SR Taylor,Arshdeep Singh,Aaron Jones,0,0,0,,,United States of America,2,,,,,,,,,,,
Aaron Jones,Mohammed Siraj,SR Taylor,0,0,0,,,United States of America,3,,,,,,,,,,,
